Provincia,Partido,Localidad,Link Indec,ADSL,CABLEMODEM,DIAL UP,FIBRA OPTICA,OTROS,SATELITAL,WIMAX,WIRELESS,Total general
BUENOS AIRES,Tres De Febrero,Caseros,6840010,1694,24734,2,9437,26,1,0,2,35896
BUENOS AIRES,Tres De Febrero,Churruca,6840010,2,955,0,1630,0,0,0,0,2587
BUENOS AIRES,Tres De Febrero,Ciudad Jardín Lomas del Palomar,6840010,276,5555,0,925,2,0,0,0,6758
BUENOS AIRES,Tres De Febrero,Ciudadela,6840010,127,11780,66,16040,53,3,0,4,28073
BUENOS AIRES,Tres De Febrero,El Libertador,6840010,53,3041,0,1,0,0,0,0,3095
BUENOS AIRES,Tres De Febrero,Jose Ingenieros,6840010,32,2022,0,591,3,0,0,5,2653
BUENOS AIRES,Tres De Febrero,Loma Hermosa,6840010,369,6058,0,58,18,0,0,0,6503
BUENOS AIRES,Tres De Febrero,Martín Coronado,6840010,45,5271,1,2893,6,0,0,0,8216
BUENOS AIRES,Tres De Febrero,Pablo Podestá,6840010,1322,3626,0,9,12,0,0,438,5407
BUENOS AIRES,Tres De Febrero,Remedios De Escalada,6840010,33,3119,0,9187,16,0,0,0,12355
BUENOS AIRES,Tres De Febrero,Saenz Peña,6840010,152,5617,0,982,0,1,0,1,6753
BUENOS AIRES,Tres De Febrero,Santos Lugares,6840010,188,6779,0,1389,8,0,0,1,8365
BUENOS AIRES,Tres De Febrero,Villa Bosch (Est. Juan Maria Bosch),6840010,58,7657,0,6518,3,0,0,0,14236
BUENOS AIRES,Tres De Febrero,Villa Raffo,6840010,72,2082,0,725,3,0,0,0,2882
BUENOS AIRES,Tres Lomas,Tres Lomas,6847020,62,814,1,408,319,0,0,179,1783
BUENOS AIRES,Vicente López,Carapachay,6861010,317,5112,1,2753,2,0,0,0,8185
BUENOS AIRES,Vicente López,Florida,6861010,503,12753,2,9332,6,0,0,2,22598
BUENOS AIRES,Vicente López,Florida Oeste,6861010,273,5544,0,3642,5,1,0,245,9710
BUENOS AIRES,Vicente López,La Lucila,6861010,111,3681,1,1985,1,0,0,0,5779
BUENOS AIRES,Vicente López,Munro,6861010,290,8780,8,7059,10,1,0,1,16149
BUENOS AIRES,Vicente López,Olivos,6861010,784,20934,4,14321,10,1,0,0,36054
BUENOS AIRES,Vicente López,Vicente López,6861010,198,8944,3,4892,17,0,0,1,14055
BUENOS AIRES,Vicente López,Villa Adelina,6861010,0,546,0,1358,0,0,0,0,1904
BUENOS AIRES,Vicente López,Villa Martelli,6861010,492,5489,1,5656,3,0,0,375,12016
BUENOS AIRES,Villa Gesell,Villa Gesell,6868020,5011,0,0,6583,107,0,0,0,11701
BUENOS AIRES,Villarino,Juan Cousté  (Est. Algarrobo),6875040,0,0,1,0,0,0,0,82,83
BUENOS AIRES,Villarino,Mayor Buratovich,6875050,0,0,0,630,0,0,0,0,630
BUENOS AIRES,Villarino,Médanos,6875060,461,523,1,0,0,0,0,103,1088
BUENOS AIRES,Villarino,Pedro Luro,6875070,379,582,0,1666,1,0,0,550,3178
BUENOS AIRES,Villarino,Argerich,6875010,0,0,0,0,0,0,0,31,31
BUENOS AIRES,Villarino,Teniente Origone,6875080,0,0,0,0,0,0,0,16,16
BUENOS AIRES,Villarino,Country Los Medanos,6875025,0,0,0,0,0,0,0,267,267
BUENOS AIRES,Zárate,Lima,6882040,1,0,0,1,0,0,0,0,2
BUENOS AIRES,Zárate,Zárate,6882050,845,27399,0,1003,700,5,0,1525,31477
BUENOS AIRES,AMBA,OTROS,Sin Datos,0,0,0,0,0,0,0,13,13
CABA,Ciudad Autónoma de Buenos Aires,Ciudad Autónoma de Buenos Aires,2000010,58700,1198835,2050,182520,27703,67,0,4492,1474367
CATAMARCA,Ambato,El Bolsón,10007030,0,0,0,0,0,1,0,0,1
CATAMARCA,Ambato,El Rodeo,10007040,0,0,0,0,0,1,0,152,153
CATAMARCA,Ambato,La Puerta,10007060,0,0,0,0,0,5,0,0,5
CATAMARCA,Ambato,Las Chacritas,10007070,0,0,0,0,0,1,0,0,1
CATAMARCA,Ambato,Los Varela,10007110,0,0,0,0,0,1,0,0,1
CATAMARCA,Ambato,Los Talas,10007100,0,0,0,0,0,0,0,66,66
CATAMARCA,Ancasti,Ancasti,10014010,0,0,0,0,0,1,0,0,1
CATAMARCA,Andalgalá,Andalgalá,10021020,682,0,0,144,1,2,0,203,1032
CATAMARCA,Andalgalá,Chaquiago,10021030,0,0,0,9,0,1,0,14,24
CATAMARCA,Andalgalá,El Potrero,10021070,0,0,0,13,0,0,0,0,13
CATAMARCA,Andalgalá,Aconquija,10021010,0,0,0,0,0,1,0,0,1
CATAMARCA,Andalgalá,El Alamito,10021050,0,0,0,0,0,0,0,20,20
CATAMARCA,Andalgalá,La Aguada,10021080,0,0,0,11,0,0,0,5,16
CATAMARCA,Andalgalá,La Mesada,10021010,0,0,0,1,0,0,0,0,1
CATAMARCA,Antofagasta de la Sierra,Antofagasta de la Sierra,10028010,0,0,0,0,0,4,0,0,4
CATAMARCA,Belén,Belén,10035020,0,0,0,0,0,5,0,30,35
CATAMARCA,Belén,Hualfín,10035070,0,0,0,0,0,1,0,0,1
CATAMARCA,Belén,Londres,10035110,0,0,0,0,0,1,0,20,21
CATAMARCA,Belén,El Durazno,10035050,0,0,0,0,0,1,0,0,1
CATAMARCA,Belén,Las Juntas,10035100,0,0,0,0,0,0,0,5,5
CATAMARCA,Capayán,Capayán,10042030,0,0,0,0,0,1,0,0,1
CATAMARCA,Capayán,Chumbicha,10042040,105,0,0,5,0,1,0,474,585
CATAMARCA,Capayán,Colonia del Valle,10042050,0,0,0,0,0,1,0,0,1
CATAMARCA,Capayán,Colonia Nueva Coneta,10042060,0,0,0,10,0,1,0,9,20
CATAMARCA,Capayán,Coneta,10042080,0,0,0,10,0,1,0,0,11
CATAMARCA,Capayán,Huillapima,10042100,0,0,0,5,0,1,0,9,15
CATAMARCA,Capayán,Miraflores,10042120,0,0,0,7,0,2,0,10,19
CATAMARCA,Capayán,San Martín,10042130,0,0,0,0,0,7,0,0,7
CATAMARCA,Capayán,Los Angeles,10042110,0,0,0,0,0,0,0,5,5
CATAMARCA,Capital,El Pantanillo,10049020,4,0,0,36,0,2,0,0,42
CATAMARCA,Capital,San Fernando del Valle de Catamarca,10049030,3937,10980,1,46299,0,1,0,14,61232
CATAMARCA,El Alto,El Alto,10056010,0,0,0,0,0,1,0,28,29
CATAMARCA,El Alto,Tapso,10056050,0,0,0,0,0,1,0,0,1
CATAMARCA,La Paz,Icaño,10070070,0,0,0,0,0,1,0,0,1
CATAMARCA,La Paz,Recreo,10070140,63,36,0,1882,0,1,0,5,1987
CATAMARCA,La Paz,San Antonio,10070150,0,0,0,0,0,0,0,26,26
CATAMARCA,La Paz,Quirós,10070120,0,0,0,0,0,0,0,27,27
CATAMARCA,Paclín,La Merced,10077050,67,0,0,0,0,4,0,5,76
CATAMARCA,Paclín,La Viña,10077060,0,0,0,0,0,0,0,10,10
CATAMARCA,Paclín,Las Lajas,10077070,0,0,0,0,0,1,0,0,1
CATAMARCA,Paclín,San Antonio,10077100,0,0,0,0,0,1,0,7,8
CATAMARCA,Pomán,Mutquin,10084060,0,0,0,0,0,1,0,0,1
CATAMARCA,Pomán,Pomán,10084070,0,0,0,0,0,2,0,0,2
CATAMARCA,Pomán,San Miguel,10084090,0,0,0,0,0,0,0,7,7
CATAMARCA,Pomán,Saujil,10084100,0,0,0,0,0,1,0,169,170
CATAMARCA,Pomán,Siján,10084110,0,0,0,0,0,1,0,0,1
CATAMARCA,Pomán,Colpes,10084030,0,0,0,0,0,0,0,16,16
CATAMARCA,Santa María,La Loma,10091100,75,0,0,73,0,1,0,0,149
CATAMARCA,Santa María,San José,10091140,126,0,0,138,0,1,0,0,265
CATAMARCA,Santa María,Santa María,10091150,925,0,0,823,0,1,0,5,1754
CATAMARCA,Santa María,Chañar Punco,10091030,34,0,0,137,0,0,0,0,171
CATAMARCA,Santa María,Famatanca,10091070,45,0,0,0,0,0,0,0,45
CATAMARCA,Santa María,Las Mojarras,10091110,47,0,0,107,0,0,0,0,154
CATAMARCA,Santa María,Loro Huasi,10091120,107,0,0,95,0,0,0,0,202
CATAMARCA,Santa Rosa,Alijilán,10098010,0,0,0,0,0,2,0,0,2
CATAMARCA,Santa Rosa,Bañado de Ovanta,10098020,0,0,0,0,0,1,0,0,1
CATAMARCA,Santa Rosa,Lavalle,10098040,0,0,0,0,0,1,0,0,1
CATAMARCA,Santa Rosa,Los Altos,10098050,0,0,0,0,0,1,0,6,7
CATAMARCA,Tinogasta,Fiambalá,10105110,0,0,0,8,0,2,0,7,17
CATAMARCA,Tinogasta,Tinogasta,10105180,452,0,0,1828,0,2,0,0,2282
CATAMARCA,Valle Viejo,El Portezuelo,10112010,0,0,0,0,0,6,0,0,6
CATAMARCA,Valle Viejo,San Isidro,10112040,0,0,0,2665,0,0,0,5,2670
CATAMARCA,Valle Viejo,Santa Rosa,10112030,0,0,0,759,0,0,0,5,764
CATAMARCA,Valle Viejo,Villa Dolores,10112030,0,0,0,103,0,0,0,5,108
CATAMARCA,Valle Viejo,Sumalao,10112030,0,0,0,1,0,0,0,5,6
CATAMARCA,Valle Viejo,Polcos,10112030,0,0,0,213,0,0,0,0,213
CATAMARCA,Valle Viejo,Pozo Del Mistol,10112030,0,0,0,18,0,0,0,0,18
CATAMARCA,Valle Viejo,El Bañado,10112030,0,0,0,7,0,0,0,0,7
CATAMARCA,Fray Mamerto Esquiú,San Antonio,10063050,0,0,0,4,0,0,0,0,4
CATAMARCA,Fray Mamerto Esquiú,Villa Las Pirquitas,10063050,0,0,0,0,0,1,0,0,1
CATAMARCA,Fray Mamerto Esquiú,La Carrera,10063050,0,0,0,0,0,1,0,0,1
CATAMARCA,Fray Mamerto Esquiú,El Hueco,10063050,0,0,0,26,0,0,0,0,26
CATAMARCA,Fray Mamerto Esquiú,La Falda De San Antonio,10063050,0,0,0,0,0,0,0,5,5
CATAMARCA,Fray Mamerto Esquiú,La Tercena,10063050,0,0,0,0,0,0,0,5,5
CHACO,12 de Octubre,Gancedo,22036010,0,0,0,26,0,2,0,119,147
CHACO,12 de Octubre,General Pinedo,22036030,142,0,0,632,0,2,0,1,777
CHACO,12 de Octubre,General Capdevila,22036020,0,0,0,35,0,0,0,0,35
CHACO,1º de Mayo,Colonia Benítez,22126020,121,0,0,11,0,1,0,2,135
CHACO,1º de Mayo,Margarita Belén,22126030,252,0,0,0,0,0,0,261,513
CHACO,2 de Abril,Hermoso Campo,22039010,0,28,0,244,0,1,0,0,273
CHACO,2 de Abril,Itín,22039020,0,0,0,52,478,0,0,0,530
CHACO,25 de Mayo,Colonia Aborigen,22168010,0,0,0,0,0,0,0,59,59
CHACO,25 de Mayo,Machagai,22168020,239,432,0,45,0,0,0,226,942
CHACO,9 de Julio,Las Breñas,22105010,893,0,0,233,0,1,0,0,1127
CHACO,Almirante Brown,Concepción del Bermejo,22007010,0,0,0,44,0,2,0,230,276
CHACO,Almirante Brown,Los Frentones,22007020,0,0,0,344,0,1,0,0,345
CHACO,Almirante Brown,Pampa del Infierno,22007030,0,0,0,1375,0,5,0,190,1570
CHACO,Almirante Brown,Taco Pozo,22007050,0,0,0,416,0,3,0,0,419
CHACO,Bermejo,General Vedia,22014010,107,0,0,30,0,1,0,155,293
CHACO,Bermejo,Isla del Cerrito,22014020,0,0,0,0,0,1,0,0,1
CHACO,Bermejo,La Leonesa,22014030,414,0,0,0,0,0,0,228,642
CHACO,Bermejo,Las Palmas,22014040,0,0,0,46,0,1,0,296,343
CHACO,Bermejo,Puerto Bermejo Nuevo,22014050,0,0,0,14,0,0,0,78,92
CHACO,Bermejo,Puerto Eva Perón,22014070,0,0,0,15,0,1,0,41,57
CHACO,Chacabuco,Charata,22028010,1190,0,0,3765,0,2,0,230,5187
CHACO,Comandante Fernández,Presidencia Roque Sáenz Peña,22021010,1715,0,0,7678,24,2,0,116,9535
CHACO,Fray Justo Santa María De Oro,Chorotis,22043010,0,0,0,0,25,0,0,0,25
CHACO,Fray Justo Santa María De Oro,OTROS,Sin Datos,0,0,0,0,60,0,0,0,60
CHACO,Fray Justo Santa María De Oro,Santa Sylvina,22043020,0,32,0,0,950,1,0,0,983
CHACO,General Belgrano,Corzuela,22049010,100,0,0,183,0,1,0,28,312
CHACO,General Donovan,La Escondida,22056010,35,311,0,180,0,2,0,0,528
CHACO,General Donovan,La Verde,22056020,12,142,0,58,305,2,0,0,519
CHACO,General Donovan,Lapachito,22056030,1,90,0,45,0,0,0,0,136
CHACO,General Donovan,Makallé,22056040,30,502,0,0,0,1,0,0,533
CHACO,General Güemes,El Espinillo,22063010,0,0,0,0,0,1,0,0,1
CHACO,General Güemes,El Sauzal,22063020,0,0,0,0,0,1,0,62,63
CHACO,General Güemes,El Sauzalito,22063030,0,0,0,0,0,1,0,120,121
CHACO,General Güemes,Fortín Lavalle,22063040,0,0,0,0,0,0,0,36,36
CHACO,General Güemes,Fuerte Esperanza,22063050,0,0,0,8,0,1,0,0,9
CHACO,General Güemes,Juan José Castelli,22063060,423,0,0,294,0,0,0,646,1363
CHACO,General Güemes,Miraflores,22063070,0,0,0,0,0,0,0,712,712
CHACO,General Güemes,Nueva Pompeya,22063080,0,0,0,1,0,4,0,308,313
CHACO,General Güemes,Villa Río Bermejito,22063100,4,0,0,194,0,2,0,222,422
CHACO,General Güemes,Wichi,22063110,0,0,0,0,0,1,0,91,92
CHACO,Independencia,Avia Terai,22070010,62,0,0,42,0,1,0,1,106
CHACO,Independencia,Campo Largo,22070020,93,0,0,482,3,0,0,0,578
CHACO,Libertad,Laguna Blanca,22077030,0,0,0,0,0,2,0,6,8
CHACO,Libertad,Puerto Tirol,22077040,428,1,0,375,0,0,0,73,877
CHACO,Libertad,Colonia Popular,22077010,0,0,0,0,0,0,0,5,5
CHACO,Libertador General San Martín,Ciervo Petiso,22084010,0,0,0,0,46,1,0,0,47
CHACO,Libertador General San Martín,General José de San Martín,22084020,184,539,0,5808,0,0,0,450,6981
CHACO,Libertador General San Martín,La Eduvigis,22084030,0,0,0,0,0,1,0,0,1
CHACO,Libertador General San Martín,Laguna Limpia,22084040,0,0,0,0,0,0,0,81,81
CHACO,Libertador General San Martín,Pampa Almirón,22084050,0,0,0,26,0,0,0,27,53
CHACO,Libertador General San Martín,Pampa del Indio,22084060,0,0,0,25,0,2,0,515,542
CHACO,Libertador General San Martín,Presidencia Roca,22084070,0,0,0,484,0,2,0,119,605
CHACO,Maipú,Tres Isletas,22091010,271,0,0,0,0,0,0,57,328
CHACO,Mayor Luis J. Fontana,Coronel Du Graty,22098010,122,73,0,264,0,1,0,516,976
CHACO,Mayor Luis J. Fontana,Enrique Urién,22098020,0,0,0,37,0,0,0,0,37
CHACO,Mayor Luis J. Fontana,Villa Angela,22098030,1074,0,0,4805,0,0,0,402,6281
CHACO,O Higgins,La Clotilde,22112010,0,32,0,78,116,1,0,0,227
CHACO,O Higgins,La Tigra,22112020,1,0,0,0,252,1,0,0,254
CHACO,O Higgins,San Bernardo,22112030,147,0,0,14,38,3,0,0,202
CHACO,OTROS,OTROS,Sin Datos,0,0,0,0,24,0,0,0,24
CHACO,Presidencia de la Plaza,Presidencia de la Plaza,22119010,139,598,0,58,0,0,0,1,796
CHACO,Quitilipi,Quitilipi,22133010,634,0,0,69,0,0,0,125,828
CHACO,Quitilipi,Villa El Palmar,22133020,0,0,0,0,0,0,0,99,99
CHACO,San Fernando,Barranqueras,22140010,115,3836,0,147,0,0,0,15,4113
CHACO,San Fernando,Basail,22140020,72,67,0,0,0,1,0,57,197
CHACO,San Fernando,Fontana,22140040,0,0,0,179,0,0,0,147,326
CHACO,San Fernando,OTROS,Sin Datos,0,0,0,0,0,3,0,0,3
CHACO,San Fernando,Puerto Vilelas,22140050,0,0,0,9,0,1,0,1,11
CHACO,San Fernando,Resistencia,22140060,4980,53594,5,32971,2,6,0,193,91751
CHACO,San Lorenzo,Samuhú,22147010,0,0,0,0,0,1,0,0,1
CHACO,San Lorenzo,Villa Berthet,22147020,0,0,0,32,0,1,0,898,931
CHACO,Sargento Cabral,Capitán Solari,22154010,0,0,0,81,0,0,0,30,111
CHACO,Sargento Cabral,Colonia Elisa,22154020,0,0,0,0,0,2,0,0,2
CHACO,Sargento Cabral,Colonias Unidas,22154030,0,0,0,320,0,0,0,15,335
CHACO,Sargento Cabral,Las Garcitas,22154050,0,0,0,0,0,1,0,114,115
CHACO,Tapenagá,Charadai,22161010,0,0,0,27,0,1,0,0,28
CHUBUT,Biedma,Arroyo Verde,26007010,0,0,0,0,0,1,0,0,1
CHUBUT,Biedma,Puerto Madryn,26007020,2850,25467,187,3783,5815,9,0,2756,40867
CHUBUT,Biedma,Puerto Pirámide,26007030,0,0,0,0,0,1,0,106,107
CHUBUT,Biedma,Quinta El Mirador,26007040,0,0,0,0,0,0,0,22,22
CHUBUT,Biedma,Reserva Area Protegida El Doradillo,26007050,0,0,0,0,0,0,0,127,127
CHUBUT,Cushamen,Cholila,26014020,0,0,1,0,0,1,0,0,2
CHUBUT,Cushamen,El Hoyo,26014040,139,0,0,685,0,0,0,673,1497
CHUBUT,Cushamen,Epuyén,26014060,1184,0,0,0,0,0,0,0,1184
CHUBUT,Cushamen,Gualjaina,26014070,0,0,0,0,0,2,0,0,2
CHUBUT,Cushamen,Lago Puelo,26014090,267,0,0,180,0,0,0,720,1167
CHUBUT,Cushamen,Leleque,26014100,0,0,0,0,0,2,0,0,2
CHUBUT,Escalante,Comodoro Rivadavia,26021030,11887,15539,234,8827,163,37,0,16630,53317
CHUBUT,Escalante,Diadema Argentina,26021040,0,0,0,0,0,0,0,328,328
CHUBUT,Escalante,Rada Tilly,26021050,910,0,33,1206,20,0,0,418,2587
CHUBUT,Escalante,Acceso Norte,26021020,0,0,0,0,0,47,0,49,96
CHUBUT,Florentino Ameghino,Camarones,26028010,0,0,0,0,0,1,0,208,209
CHUBUT,Florentino Ameghino,Garayalde,26028020,0,0,0,0,0,0,0,3,3
CHUBUT,Futaleufú,Corcovado,26035020,0,0,1,0,0,2,0,0,3
CHUBUT,Futaleufú,Esquel,26035030,3136,1711,38,0,1,3,0,4047,8936
CHUBUT,Futaleufú,Los Cipreses,26035050,0,0,0,0,0,2,0,0,2
CHUBUT,Futaleufú,Trevelín,26035060,425,0,18,0,0,1,0,1075,1519
CHUBUT,Futaleufú,Aldea Escolar,26035010,0,0,0,0,0,2,0,0,2
CHUBUT,Gaiman,28 de Julio,26042040,0,0,0,12,1,1,0,0,14
CHUBUT,Gaiman,Dolavon,26042020,0,0,3,55,336,1,0,0,395
CHUBUT,Gaiman,Gaiman,26042030,180,0,14,90,848,2,0,0,1134
CHUBUT,Gaiman,OTROS,Sin Datos,0,0,0,0,0,14,0,0,14
CHUBUT,Gastre,Blancuntre,26049010,0,0,0,0,0,1,0,0,1
CHUBUT,Gastre,El Escorial,26049020,0,0,0,0,0,1,0,0,1
CHUBUT,Gastre,Lagunita Salada,26049040,0,0,0,0,0,1,0,38,39
CHUBUT,Gastre,Yala Laubat,26049050,0,0,0,0,0,1,0,0,1
CHUBUT,Gastre,Gastre,26049030,0,0,0,0,0,0,0,147,147
CHUBUT,Languiñeo,Aldea Epulef,26056010,0,0,0,0,0,1,0,8,9
CHUBUT,Languiñeo,Carrenleufú,26056020,0,0,0,0,0,2,0,0,2
CHUBUT,Languiñeo,Colan Conhue,26056030,0,0,0,0,0,1,0,8,9
CHUBUT,Languiñeo,Paso del Sapo,26056040,0,0,0,0,0,1,0,88,89
CHUBUT,Languiñeo,Tecka,26056050,0,0,0,0,0,1,0,0,1
CHUBUT,Mártires,El Mirasol,26063010,0,0,0,0,0,1,0,0,1
CHUBUT,Mártires,Las Plumas,26063020,0,0,0,0,0,1,0,0,1
CHUBUT,Paso de Indios,Cerro Cóndor,26070010,0,1,0,0,0,1,0,0,2
CHUBUT,Paso de Indios,Los Altares,26070020,0,0,0,0,0,1,0,1,2
CHUBUT,Paso de Indios,Paso de Indios,26070030,0,0,0,0,0,1,0,0,1
CHUBUT,Rawson,Playa Unión,26077020,536,202,11,101,0,0,0,421,1271
CHUBUT,Rawson,Rawson,26077030,1418,8686,41,774,300,1,0,343,11563
CHUBUT,Rawson,Trelew,26077040,1493,23892,274,9284,1421,2,0,1130,37496
CHUBUT,Rawson,Playa Magagna,26077010,0,1700,0,0,0,0,0,3,1703
CHUBUT,Río Senguer,Aldea Apeleg,26084010,0,0,0,0,0,1,0,1,2
CHUBUT,Río Senguer,Aldea Beleiro,26084020,0,0,0,0,0,1,0,0,1
CHUBUT,Río Senguer,Alto Río Senguer,26084030,0,0,1,0,0,3,0,1,5
CHUBUT,Río Senguer,Doctor Ricardo Rojas,26084040,0,0,0,0,0,1,0,0,1
CHUBUT,Río Senguer,Facundo,26084050,0,0,0,0,0,1,0,41,42
CHUBUT,Río Senguer,Lago Blanco,26084060,0,0,0,0,0,1,0,0,1
CHUBUT,Río Senguer,Río Mayo,26084070,140,0,0,4,0,2,0,621,767
CHUBUT,Sarmiento,Buen Pasto,26091010,0,0,0,0,0,1,0,0,1
CHUBUT,Sarmiento,SARMIENTO,26091020,1741,1,0,1173,0,1,0,270,3186
CHUBUT,Tehuelches,Gobernador Costa,26098020,0,0,1,0,0,0,0,0,1
CHUBUT,Tehuelches,José de San Martín,26098030,0,0,0,0,0,1,0,0,1
CHUBUT,Tehuelches,Río Pico,26098040,0,0,0,0,0,2,0,0,2
CHUBUT,Telsen,Gan Gan,26105010,0,0,0,0,1,1,0,156,158
CHUBUT,Telsen,Telsen,26105020,0,18,0,0,0,4,0,104,126
CORDOBA,Calamuchita,Amboy,14007010,0,0,0,0,0,0,0,174,174
CORDOBA,Calamuchita,Cañada del Sauce,14007030,1,0,0,0,0,0,0,0,1
CORDOBA,Calamuchita,Capilla Vieja,14007040,0,0,0,0,0,0,0,20,20
CORDOBA,Calamuchita,El Corcovado - El Torreón,14007050,52,0,0,0,0,0,0,30,82
CORDOBA,Calamuchita,Embalse,14007060,0,0,0,1533,0,1,0,1942,3476
CORDOBA,Calamuchita,La Cruz,14007070,10,0,0,0,0,0,0,383,393
CORDOBA,Calamuchita,La Cumbrecita,14007080,0,0,0,0,0,0,0,250,250
CORDOBA,Calamuchita,Las Bajadas,14007090,0,0,0,0,0,0,0,28,28
CORDOBA,Calamuchita,Los Cóndores,14007110,423,0,0,0,0,1,0,516,940
CORDOBA,Calamuchita,Los Molinos,14007120,0,0,0,0,0,0,0,50,50
CORDOBA,Calamuchita,Los Reartes,14007130,25,0,0,490,0,1,0,600,1116
CORDOBA,Calamuchita,Parque Calmayo,14007160,0,0,0,0,0,0,0,31,31
CORDOBA,Calamuchita,San Agustín,14007180,110,0,0,0,0,0,0,1,111
CORDOBA,Calamuchita,San Ignacio (Loteo San Javier),14007190,0,0,0,0,0,0,0,19,19
CORDOBA,Calamuchita,Santa Rosa de Calamuchita,14007210,887,1805,0,279,0,0,0,3381,6352
CORDOBA,Calamuchita,Villa Alpina,14007240,0,0,0,0,0,0,0,5,5
CORDOBA,Calamuchita,Villa Amancay,14007250,0,0,0,0,0,0,0,229,229
CORDOBA,Calamuchita,Villa Berna,14007260,32,0,0,0,0,0,0,15,47
CORDOBA,Calamuchita,Villa Ciudad Parque Los Reartes (1a. Sección),14007270,0,0,0,0,0,0,0,244,244
CORDOBA,Calamuchita,Villa del Dique,14007290,555,0,0,256,128,0,0,947,1886
CORDOBA,Calamuchita,Villa General Belgrano,14007310,0,31,0,0,0,1,0,1251,1283
CORDOBA,Calamuchita,Villa Quillinzo,14007330,0,0,0,0,0,0,0,124,124
CORDOBA,Calamuchita,Villa Rumipal,14007340,0,0,0,47,0,0,0,980,1027
CORDOBA,Calamuchita,Villa San Miguel,14007170,0,0,0,0,0,0,0,5,5
CORDOBA,Calamuchita,Villa Yacanto,14007360,0,0,0,0,0,0,0,135,135
CORDOBA,Calamuchita,Las Caleras,14007100,0,0,0,0,0,0,0,7,7
CORDOBA,Calamuchita,Segunda Usina,14007220,0,0,0,0,0,0,0,67,67
CORDOBA,Calamuchita,Río de los Sauces,14007170,0,0,0,0,0,0,0,2,2
CORDOBA,Calamuchita,Villa Ciudad Parque Los Reartes,14007170,0,400,0,0,0,0,0,160,560
CORDOBA,Calamuchita,Santa Monica,14007170,0,0,0,0,0,0,0,106,106
CORDOBA,Calamuchita,San Ignacio (Loteo Vélez Crespo),14007170,0,0,0,0,0,0,0,9,9
CORDOBA,Capital,Córdoba,14014010,33288,210807,42,269623,1218,11,0,4370,519359
CORDOBA,Capital,OTROS,Sin Datos,0,0,0,0,0,0,0,695,695
CORDOBA,Colón,Agua de Oro,14021010,370,0,0,65,0,0,0,65,500
CORDOBA,Colón,Ascochinga,14021020,120,0,0,1,0,0,0,0,121
CORDOBA,Colón,Colonia Caroya,14021050,720,564,0,6932,0,0,0,41,8257
CORDOBA,Colón,El Manzano,14021110,125,0,0,0,0,0,0,20,145
CORDOBA,Colón,General Paz,14021130,154,0,0,0,0,0,0,0,154
CORDOBA,Colón,Jesús María,14021140,790,3927,0,7438,0,0,0,19,12174
CORDOBA,Colón,La Calera,14021150,1120,7519,0,893,316,1,0,496,10345
CORDOBA,Colón,La Granja,14021160,406,0,0,0,0,0,0,26,432
CORDOBA,Colón,Los Molles,14021180,0,0,0,0,0,2,0,0,2
CORDOBA,Colón,Malvinas Argentinas,14021190,404,0,0,0,0,0,0,229,633
CORDOBA,Colón,Mendiolaza,14021200,860,2926,0,753,2,0,0,215,4756
CORDOBA,Colón,OTROS,Sin Datos,0,0,0,0,0,0,0,287,287
CORDOBA,Colón,Pajas Blancas,14021220,0,0,0,0,0,0,0,19,19
CORDOBA,Colón,Río Ceballos,14021230,1133,6192,0,14,1,1,0,444,7785
CORDOBA,Colón,Saldán,14021240,29,3908,0,19,0,0,0,271,4227
CORDOBA,Colón,Salsipuedes,14021250,891,532,0,135,0,1,0,387,1946
CORDOBA,Colón,Unquillo,14021280,2154,953,0,568,0,0,0,603,4278
CORDOBA,Colón,Villa Allende,14021290,1,6952,0,1279,4,0,0,484,8720
CORDOBA,Colón,Villa Cerro Azul,14021300,75,0,0,0,0,0,0,20,95
CORDOBA,Colón,Villa El Fachinal - Parque Norte - Guiñazú Norte,14021310,275,0,0,0,0,1,0,0,276
CORDOBA,Colón,Villa Los Llanos - Juárez Celman,14021320,356,0,0,499,0,0,0,360,1215
CORDOBA,Colón,Mi Granja,14021210,0,0,0,4,0,0,0,0,4
CORDOBA,Cruz del Eje,Alto de los Quebrachos,14028010,0,0,0,0,6,0,0,1,7
CORDOBA,Cruz del Eje,Bañado de Soto,14028020,0,0,0,0,0,0,0,8,8
CORDOBA,Cruz del Eje,Cruz de Caña,14028040,0,0,0,0,0,0,0,2,2
CORDOBA,Cruz del Eje,Cruz del Eje,14028050,894,1733,0,4,0,0,0,575,3206
CORDOBA,Cruz del Eje,El Brete,14028060,0,0,0,1,0,0,0,65,66
CORDOBA,Cruz del Eje,Guanaco Muerto,14028080,0,0,0,0,0,0,0,17,17
CORDOBA,Cruz del Eje,La Banda,14028090,0,0,0,0,0,1,0,0,1
CORDOBA,Cruz del Eje,La Batea,14028100,0,0,0,0,0,0,0,1,1
CORDOBA,Cruz del Eje,La Higuera,14028110,7,0,0,0,0,0,0,2,9
CORDOBA,Cruz del Eje,Las Playas,14028130,0,0,0,1,0,0,0,176,177
CORDOBA,Cruz del Eje,Los Chañaritos,14028140,0,0,0,1,0,0,0,9,10
CORDOBA,Cruz del Eje,Media Naranja,14028150,0,0,0,0,0,0,0,60,60
CORDOBA,Cruz del Eje,Paso Viejo,14028160,64,0,0,0,0,0,0,54,118
